id_llamada,Fecha,Cliente,id_problema,Solucionado
6,12/08/2018,34765,3,SI
7,15/03/2019,16669,3,SI
12,21/10/2018,9357,3,NO
18,15/08/2018,48660,3,NO
19,28/08/2018,24935,3,NO
21,23/09/2018,4087,3,NO
25,18/02/2019,15586,3,NO
35,27/09/2018,35360,3,NO
44,08/08/2018,13291,3,SI
50,24/10/2018,4649,3,SI
53,20/06/2019,45469,3,SI
57,25/12/2018,19872,3,NO
59,29/03/2019,30890,3,SI
62,22/09/2018,28777,3,SI
63,25/01/2019,7145,3,NO
69,30/06/2019,44597,3,SI
72,25/10/2018,48374,3,NO
74,06/02/2019,8576,3,SI
79,24/05/2019,42030,3,NO
80,18/05/2019,30722,3,SI
83,13/04/2019,7476,3,SI
84,21/01/2019,17182,3,SI
102,10/02/2019,17024,3,SI
105,24/02/2019,3546,3,NO
109,27/08/2018,7433,3,NO
112,27/11/2018,23391,3,SI
117,20/05/2019,20555,3,SI
119,19/10/2018,43674,3,SI
120,01/05/2019,26010,3,SI
125,20/04/2019,35993,3,NO
126,23/07/2018,3059,3,SI
129,24/02/2019,36882,3,SI
139,24/07/2018,34868,3,NO
140,10/04/2019,3346,3,NO
148,18/02/2019,37061,3,SI
149,04/05/2019,6830,3,SI
154,26/08/2018,21975,3,SI
158,14/03/2019,9077,3,NO
162,10/06/2019,32147,3,SI
169,14/07/2018,10574,3,NO
171,11/12/2018,15478,3,NO
173,26/07/2018,47586,3,SI
180,08/09/2018,6820,3,SI
182,30/06/2019,28719,3,NO
189,15/04/2019,7259,3,SI
201,03/11/2018,29462,3,SI
213,16/03/2019,24867,3,NO
223,12/11/2018,45760,3,SI
229,16/10/2018,14012,3,NO
235,20/03/2019,8954,3,SI
239,28/12/2018,5991,3,SI
248,05/04/2019,24059,3,NO
253,24/07/2018,16031,3,NO
259,01/03/2019,28027,3,SI
266,15/06/2019,43109,3,SI
272,03/09/2018,32589,3,NO
273,16/09/2018,14293,3,SI
298,09/05/2019,41241,3,SI
303,13/04/2019,32771,3,NO
310,19/09/2018,45074,3,SI
321,07/12/2018,15501,3,SI
325,05/02/2019,14143,3,SI
328,26/02/2019,26490,3,SI
329,07/05/2019,33960,3,NO
341,02/05/2019,5417,3,SI
342,29/12/2018,19258,3,NO
344,14/02/2019,41508,3,NO
351,31/07/2018,22754,3,SI
354,13/07/2018,27511,3,SI
366,03/08/2018,49658,3,NO
369,15/03/2019,48676,3,NO
376,31/01/2019,41281,3,SI
385,23/07/2018,40748,3,NO
389,28/10/2018,28171,3,SI
400,01/11/2018,19401,3,NO
407,16/01/2019,18951,3,SI
411,01/10/2018,45359,3,NO
415,24/01/2019,31718,3,SI
431,26/08/2018,21731,3,SI
444,25/04/2019,3141,3,SI
445,31/10/2018,11116,3,SI
447,22/09/2018,21955,3,SI
454,22/11/2018,10634,3,NO
459,19/01/2019,28299,3,SI
461,02/11/2018,23283,3,NO
465,26/10/2018,45252,3,SI
468,11/12/2018,42620,3,SI
476,06/10/2018,36132,3,NO
479,05/12/2018,5572,3,NO
480,11/12/2018,19309,3,SI
484,18/07/2018,7372,3,NO
500,18/02/2019,4569,3,SI
